"title";"type"
"Sözlezme Davet Tarihi";"date"
"Sözleşme Davet Yazısı";"file"
"İş Programının Sunulma Tarihi";"date"
"İş Programının Dosyası";"file"
"Kurulum Tarihi";"date"
"Kurulum Belgesi";"file"
"Ön Lisans Numarası";"string"
"Ön Lisans Tarihi";"date"
"Lisans Numarası";"string"
"Lisans Tarihi";"date"
"Resmi Gazete Dökumanı";"file"
